crn, date, stime, etime, itype, depth, l12, d12, 
#, yymmdd, hhmm, hhmm, , m, mg C/m3, mg C/m3, 
  1, 881031,   -9,   -9,  0,   24, 12.210, -9.000,
  1, 881031,   -9,   -9,  0,   42,  2.470,  0.070,
  1, 881031,   -9,   -9,  0,   68,  2.580,  0.060,
  1, 881031,   -9,   -9,  0,  114,  0.720,  0.160,
  3, 890108,   -9,   -9,  0,    9,  2.005,  0.060,
  3, 890108,   -9,   -9,  0,   28,  2.975,  0.050,
  3, 890108,   -9,   -9,  0,   50,  4.600,  0.100,
  3, 890108,   -9,   -9,  0,   77,  2.110,  0.060,
  3, 890108,   -9,   -9,  0,  126,  0.330,  0.060,
  3, 890108,   -9,   -9,  0,  178,  0.045,  0.030,
  4, 890228,   -9,   -9,  0,   10,  4.750,  0.100,
  4, 890228,   -9,   -9,  0,   26,  5.480,  0.130,
  4, 890228,   -9,   -9,  0,   45,  2.610,  0.070,
  4, 890228,   -9,   -9,  0,   75,  1.700,  0.070,
  4, 890228,   -9,   -9,  0,  125,  2.380,  0.060,
  4, 890228,   -9,   -9,  0,  178,  0.100,  0.050,
  5, 890327,   -9,   -9,  0,    5,  1.920, -9.000,
  5, 890327,   -9,   -9,  0,   25,  4.920, -9.000,
  5, 890327,   -9,   -9,  0,   45,  4.070, -9.000,
  5, 890327,   -9,   -9,  0,   75,  1.015, -9.000,
  5, 890327,   -9,   -9,  0,  125,  0.795, -9.000,
  5, 890327,   -9,   -9,  0,  175,  0.340, -9.000,
  6, 890518,   -9,   -9,  0,    5,  4.025,  0.270,
  6, 890518,   -9,   -9,  0,   25,  7.355,  0.350,
  6, 890518,   -9,   -9,  0,   45,  3.350,  0.370,
  6, 890518,   -9,   -9,  0,   75,  5.540,  0.190,
  6, 890518,   -9,   -9,  0,  125,  0.230,  0.230,
  6, 890518,   -9,   -9,  0,  175,  0.155,  0.160,
  7, 890624,   -9,   -9,  0,    5,  4.700,  0.210,
  7, 890624,   -9,   -9,  0,   25,  3.015,  0.190,
  7, 890624,   -9,   -9,  0,   45,  3.100,  0.240,
  7, 890624,   -9,   -9,  0,   75,  1.105,  0.180,
  7, 890624,   -9,   -9,  0,  100,  3.320,  0.120,
  7, 890624,   -9,   -9,  0,  125,  0.325,  0.130,
  7, 890624,   -9,   -9,  0,  150,  0.210,  0.140,
  7, 890624,   -9,   -9,  0,  175,  0.120,  0.130,
  8, 890729,   -9, 1900,  1,    5,  3.890,  0.320,
  8, 890729,   -9, 1900,  1,   25,  5.025,  0.230,
  8, 890729,   -9, 1900,  1,   45,  6.295, -9.000,
  8, 890729,   -9, 1900,  1,   75,  3.795,  0.160,
  8, 890729,   -9, 1900,  1,  100,  3.145,  0.170,
  8, 890729,   -9, 1900,  1,  125,  0.845,  0.090,
  8, 890729,   -9, 1900,  1,  150,  0.225,  0.100,
  8, 890729,   -9, 1900,  1,  175,  0.150,  0.150,
  8, 890729,   -9,   -9,  0,    5,  3.890,  0.190,
  8, 890729,   -9,   -9,  0,   25,  7.305,  0.300,
  8, 890729,   -9,   -9,  0,   45,  6.155,  0.240,
  8, 890729,   -9,   -9,  0,   75,  1.495,  0.180,
  8, 890729,   -9,   -9,  0,  100,  3.240,  0.130,
  8, 890729,   -9,   -9,  0,  125,  0.710,  0.110,
  8, 890729,   -9,   -9,  0,  150,  0.430,  0.190,
  8, 890729,   -9,   -9,  0,  175,  0.175, -9.000,
  9, 890824,   -9,   -9,  0,    5, 12.420,  0.510,
  9, 890824,   -9,   -9,  0,   25, 15.395,  0.710,
  9, 890824,   -9,   -9,  0,   45,  9.830,  0.650,
  9, 890824,   -9,   -9,  0,   75,  4.310,  0.490,
  9, 890824,   -9,   -9,  0,  100,  5.860,  0.240,
  9, 890824,   -9,   -9,  0,  125,  1.600,  0.180,
  9, 890824,   -9,   -9,  0,  150,  0.260,  0.160,
  9, 890824,   -9,   -9,  0,  175,  0.150,  0.120,
 10, 890922,  615, 1840,  1,    2,  3.800,  0.450,
 10, 890922,  615, 1840,  1,   10,  5.210,  0.330,
 10, 890922,  615, 1840,  1,   45,  5.290,  0.380,
 10, 890922,  615, 1840,  1,   75,  0.790,  0.220,
 10, 890922,  615, 1840,  1,  100,  3.030,  0.130,
 10, 890922,  615, 1840,  1,  125,  0.690,  0.130,
 10, 890922,  615, 1840,  1,  150,  0.120,  0.130,
